{https://registry.gdi-de.org/id/de.hh.up}name,{https://registry.gdi-de.org/id/de.hh.up}dhid,{https://registry.gdi-de.org/id/de.hh.up}linien,{https://registry.gdi-de.org/id/de.hh.up}linienzahl,{https://registry.gdi-de.org/id/de.hh.up}art,{https://registry.gdi-de.org/id/de.hh.up}abfahrten,{https://registry.gdi-de.org/id/de.hh.up}geom,CRS
U St.Pauli (Millerntorplatz),de:0:0::0,"M17,N601,N607,N608,N609,N610,N641",7,"Metrobus, Nachtbus",212,POINT (9.969692 53.550896),EPSG:4326
BAB-Auffahrt Waltershof (N),de:02000:52014::520026,"150,151,250,451,4714,N611",6,"Nachtbus, Stadtbus",15,POINT (9.912282 53.514269),EPSG:4326
Am Bergedorfer Hafen,de:02000:25066::900111,"122,124,127,135,221,223,224,225,228,235,321,332,335,4400,535,8800,8810,8890,N609,X80,X81,X82",22,"Expressbus, Nachtbus, Stadtbus",1042,POINT (10.207320 53.488230),EPSG:4326
Kalckreuthweg (Mitte),de:02000:80084::800258,"186,284,286,M1,M16,N601",6,"Metrobus, Nachtbus, Stadtbus",204,POINT (9.887443 53.565134),EPSG:4326
Heestweg,de:02000:65029::650291,"168,275,368,M16,M24",5,"Metrobus, Stadtbus",50,POINT (10.149400 53.602120),EPSG:4326
Marschkamper Deich 72,de:02000:51935::11002501,"257,2707,2711,2718,4750",5,Stadtbus,13,POINT (9.799440 53.520221),EPSG:4326
Schule Curslack,de:02000:24008::240006,"127,227,323,328,427",5,Stadtbus,35,POINT (10.221354 53.447758),EPSG:4326
Lufthansa-Basis,de:02000:91002::910025,"114,292,392,M23,M28,N605",6,"Metrobus, Nachtbus, Stadtbus",98,POINT (9.997430 53.620560),EPSG:4326
Im Alten Nincop,de:03359:51906::51954001,"2045,257,2711,2718,2719",5,Stadtbus,23,POINT (9.774540 53.520740),EPSG:4326
Ziesenißstraße,de:02000:60002::600006,"160,213,260,M23,N600,X11,X22,X32",8,"Expressbus, Metrobus, Nachtbus, Stadtbus",702,POINT (10.074715 53.567546),EPSG:4326
Osterkamp,de:02000:62017::620007,"162,263,M10,N618,X11,X22,X35",7,"Expressbus, Metrobus, Nachtbus, Stadtbus",479,POINT (10.099230 53.569520),EPSG:4326
Lokstedter Weg,de:02000:90009:2:900040,"392,M22,N605,X22,X35",5,"Expressbus, Metrobus, Nachtbus, Stadtbus",53,POINT (9.983960 53.595660),EPSG:4326
Mörkenstraße,de:02000:80108::800104,"112,115,M16,N601,N609,N641",6,"Metrobus, Nachtbus, Stadtbus",17,POINT (9.947073 53.549411),EPSG:4326
Am Hohen Feld,de:02000:62010::620013,"162,263,M10,N618,X11,X22,X35",7,"Expressbus, Metrobus, Nachtbus, Stadtbus",479,POINT (10.115570 53.571030),EPSG:4326
Bovestraße,de:02000:62015::620005,"162,263,M10,N618,X11,X22,X35",7,"Expressbus, Metrobus, Nachtbus, Stadtbus",479,POINT (10.086180 53.568894),EPSG:4326
Vierlandenstraße,de:02000:26058::230003,"122,124,127,221,223,224,321,4400,8800,X80,X82",11,"Expressbus, Stadtbus",333,POINT (10.209800 53.485100),EPSG:4326
AK Wandsbek,de:02000:62016::620006,"162,263,M10,N618,X11,X22,X35",7,"Expressbus, Metrobus, Nachtbus, Stadtbus",479,POINT (10.091340 53.568690),EPSG:4326
HBF/Steintordamm,de:02000:10092::100223,"M16,M17,M19,M2,M5,M6,N606,N607,N608,N609,N610,X35,X80",13,"Expressbus, Metrobus, Nachtbus",943,POINT (10.008219 53.552053),EPSG:4326
Kurt-Schumacher-Allee,de:02000:10066::100661,"120,122,124,224,M2,N609,N610,X35,X80",9,"Expressbus, Metrobus, Nachtbus, Stadtbus",317,POINT (10.015830 53.551910),EPSG:4326
Rathaus Bergedorf,de:02000:26055::260018,"235,335,535,8810,X81",5,"Expressbus, Stadtbus",226,POINT (10.221020 53.487620),EPSG:4326
Wiesendamm,de:02000:70088::700222,"M17,M6,N600",3,"Metrobus, Nachtbus",19,POINT (10.015755 53.590028),EPSG:4326
