{https://registry.gdi-de.org/id/de.hh.up}name,{https://registry.gdi-de.org/id/de.hh.up}dhid,{https://registry.gdi-de.org/id/de.hh.up}linien,{https://registry.gdi-de.org/id/de.hh.up}linienzahl,{https://registry.gdi-de.org/id/de.hh.up}art,{https://registry.gdi-de.org/id/de.hh.up}abfahrten,{https://registry.gdi-de.org/id/de.hh.up}geom,CRS
Eichbaumsee,de:02000:21085::210851,530,1,Stadtbus,32,POINT (573278.849901 5927078.407981),EPSG:25832
Mozartstraße,de:02000:70033:1:700140,172,1,Stadtbus,224,POINT (567732.080414 5937132.526497),EPSG:25832
BrookHus,de:02000:72063::720632,478,1,Stadtbus,20,POINT (575259.198671 5952356.844725),EPSG:25832
U Lattenkamp (Westseite),de:0:0::0,"114,214,281,292,392",5,Stadtbus,251,POINT (565773.607229 5939529.356234),EPSG:25832
Röntgenstraße (Weg beim Jäger),de:0:0::0,"292,392,N605",3,"Nachtbus, Stadtbus",209,POINT (566807.965111 5942135.170650),EPSG:25832
Niendorfer Straße,de:02000:91014::910057,391,1,Stadtbus,8,POINT (563310.226885 5940610.512734),EPSG:25832
Zeppelinstraße (Nord),de:02000:92044::920148,"292,392,N605,N606",4,"Nachtbus, Stadtbus",107,POINT (566740.238930 5942535.070197),EPSG:25832
Billhorner Deich,de:02000:10000::100056,"119,120,122,124,224,M3,N602",7,"Metrobus, Nachtbus, Stadtbus",466,POINT (569094.129023 5932200.192862),EPSG:25832
Hauptbahnhof/ZOB,de:02000:10002:4:100009,"120,122,124,224,M16,M18,M19,M2,M5,N608,N609,N610,X35,X80",14,"Expressbus, Metrobus, Nachtbus, Stadtbus",1225,POINT (566971.962047 5934192.030929),EPSG:25832
U S Berliner Tor (Beim Strohhause),de:02000:10003::100011,"120,122,124,224,M2,N609,N610,X35,X80",9,"Expressbus, Metrobus, Nachtbus, Stadtbus",500,POINT (567807.523712 5934328.273024),EPSG:25832
U S Berliner Tor (Bürgerweide),de:02000:10004::100087,"154,160,261",3,Stadtbus,169,POINT (567946.668744 5934278.341216),EPSG:25832
