{https://registry.gdi-de.org/id/de.hh.up}name,{https://registry.gdi-de.org/id/de.hh.up}dhid,{https://registry.gdi-de.org/id/de.hh.up}linien,{https://registry.gdi-de.org/id/de.hh.up}linienzahl,{https://registry.gdi-de.org/id/de.hh.up}art,{https://registry.gdi-de.org/id/de.hh.up}abfahrten,{https://registry.gdi-de.org/id/de.hh.up}geom,CRS
Hoheneichen S,de:02000:71951:1:719102,"S1,S11",2,S-Bahn,283,POINT (570595.476521 5943498.484717),EPSG:25832
Wellingsbüttel S,de:02000:71952:1:719104,"S1,S11",2,S-Bahn,283,POINT (571577.284181 5944153.084360),EPSG:25832
Poppenbüttel S,de:02000:71953:1:719106,"S1,S11",2,S-Bahn,137,POINT (572304.817249 5945377.081922),EPSG:25832
Ohlstedt U,de:02000:72900:1:729000,U1,1,U-Bahn,85,POINT (575080.318156 5950148.545348),EPSG:25832
Buckhorn U,de:02000:72902:1:729008,U1,1,U-Bahn,172,POINT (576358.697089 5946841.648885),EPSG:25832
St.Pauli U,de:02000:80900:1:809000,U3,1,U-Bahn,481,POINT (564267.333503 5933972.941259),EPSG:25832
Landungsbrücken S,de:02000:80950:3:809100,"S1,S2,S3",3,S-Bahn,531,POINT (564341.488100 5933468.281000),EPSG:25832
Reeperbahn S,de:02000:80951:1:809102,"S1,S2,S3",3,S-Bahn,531,POINT (563458.479000 5933842.085000),EPSG:25832
Königstraße S,de:02000:80952:1:809104,"S1,S2,S3",3,S-Bahn,531,POINT (562553.093900 5933627.018000),EPSG:25832
"Hamburg-Altona S Gl. 1,2",de:02000:80953:2:809106,"S1,S11,S2,S3,S31",5,S-Bahn,416,POINT (561912.185832 5934063.948730),EPSG:25832
Bahrenfeld S,de:02000:80954:1:809112,"S1,S11",2,S-Bahn,288,POINT (560346.271628 5934961.011346),EPSG:25832
Othmarschen S,de:02000:80955:1:809114,"S1,S11",2,S-Bahn,288,POINT (558640.478023 5934838.532652),EPSG:25832
Klein Flottbek S,de:02000:80956:1:809116,"S1,S11",2,S-Bahn,288,POINT (556998.592945 5934704.845670),EPSG:25832
Hochkamp S,de:02000:80957:1:809118,"S1,S11",2,S-Bahn,288,POINT (555787.834489 5935040.591676),EPSG:25832
Diebsteich S,de:02000:80958,"A1,S21,S3",3,"Regionalverkehr, S-Bahn",459,POINT (561871.127300 5935945.989000),EPSG:25832
Blankenese S,de:02000:81950:2:819100,"S1,S11",2,S-Bahn,228,POINT (553993.132704 5935378.105633),EPSG:25832
Iserbrook S,de:02000:81951:1:819102,S1,1,S-Bahn,171,POINT (553911.939998 5936722.980600),EPSG:25832
Sülldorf S,de:02000:81952:1:819104,S1,1,S-Bahn,171,POINT (552764.114812 5937214.111850),EPSG:25832
Rissen S,de:02000:81953:1:819106,S1,1,S-Bahn,171,POINT (550134.716793 5937414.737893),EPSG:25832
Elbgaustraße S,de:02000:82950:1:829100,"S21,S3",2,S-Bahn,334,POINT (559116.992956 5939687.819199),EPSG:25832
Hagenbecks Tierpark U,de:02000:83900:1:839000,U2,1,U-Bahn,403,POINT (562471.614985 5938648.903376),EPSG:25832
Lutterothstraße U,de:02000:83901:1:839002,U2,1,U-Bahn,413,POINT (562731.924116 5937435.638149),EPSG:25832
Osterstraße U,de:02000:84900:1:849000,U2,1,U-Bahn,413,POINT (563012.840500 5936791.507000),EPSG:25832
Emilienstraße U,de:02000:84901:1:849002,U2,1,U-Bahn,413,POINT (563079.047100 5936289.045000),EPSG:25832
Christuskirche U,de:02000:84902:1:849004,U2,1,U-Bahn,413,POINT (563718.828200 5936060.265000),EPSG:25832
Schlump U2,de:02000:84903:3:849006,U2,1,U-Bahn,441,POINT (564244.159300 5935850.773000),EPSG:25832
Sternschanze (Messe) S,de:02000:84950,"A1,S11,S21,S31",4,"Regionalverkehr, S-Bahn",528,POINT (564095.153221 5935429.774652),EPSG:25832
Holstenstraße S,de:02000:84951,"A1,S11,S21,S31",4,"Regionalverkehr, S-Bahn",528,POINT (562853.121044 5935203.111623),EPSG:25832
Langenfelde S,de:02000:84952,"A1,S21,S3",3,"Regionalverkehr, S-Bahn",458,POINT (561629.565100 5937160.135000),EPSG:25832
Stellingen (Arenen) S,de:02000:84953,"A1,S21,S3",3,"Regionalverkehr, S-Bahn",458,POINT (560783.025371 5938274.378472),EPSG:25832
Eidelstedt S,de:02000:84960,"A1,S21,S3",3,"Regionalverkehr, S-Bahn",528,POINT (560040.984327 5938937.517756),EPSG:25832
Sengelmannstraße Ri. Süd U,de:02000:90900:1:909000,U1,1,U-Bahn,215,POINT (567613.956817 5940553.633962),EPSG:25832
Alsterdorf U,de:02000:90901:1:909002,U1,1,U-Bahn,433,POINT (566918.241424 5940201.369578),EPSG:25832
Lattenkamp U,de:02000:90902:1:909004,U1,1,U-Bahn,433,POINT (565817.717721 5939460.648013),EPSG:25832
Hudtwalckerstraße U,de:02000:90903:1:909006,U1,1,U-Bahn,433,POINT (565922.620449 5938892.491711),EPSG:25832
Kellinghusenstraße U Ri. Süd,de:02000:90904:1:909015,"U1,U3",2,U-Bahn,465,POINT (565575.880191 5938232.172535),EPSG:25832
Klosterstern U,de:02000:90905:1:909010,U1,1,U-Bahn,441,POINT (565431.054491 5937426.196112),EPSG:25832
Sierichstraße U,de:02000:90906:1:909012,U3,1,U-Bahn,489,POINT (566258.861220 5938416.107518),EPSG:25832
Eppendorfer Baum U,de:02000:90907:1:909016,U3,1,U-Bahn,481,POINT (565231.026518 5937670.265237),EPSG:25832
Hoheluftbrücke U,de:02000:90908:1:909018,U3,1,U-Bahn,481,POINT (564641.319930 5936979.225347),EPSG:25832
Ohlsdorf S,de:02000:90950:2:909100,"S1,S11",2,S-Bahn,404,POINT (568255.766335 5941835.124147),EPSG:25832
Ohlsdorf U,de:02000:90950:1:909021,U1,1,U-Bahn,395,POINT (568217.063311 5941832.242889),EPSG:25832
Niendorf Nord U,de:02000:91900:1:919000,U2,1,U-Bahn,143,POINT (562822.116230 5943957.192756),EPSG:25832
Schippelsweg U,de:02000:91901:1:919002,U2,1,U-Bahn,287,POINT (562990.642478 5943341.020723),EPSG:25832
Joachim-Mähl-Straße U,de:02000:91902:1:919004,U2,1,U-Bahn,287,POINT (562819.368196 5942650.093168),EPSG:25832
Niendorf Markt U,de:02000:91903:1:919006,U2,1,U-Bahn,343,POINT (562935.266142 5941626.071572),EPSG:25832
Hagendeel U,de:02000:91904:1:919008,U2,1,U-Bahn,396,POINT (562553.713013 5939921.572187),EPSG:25832
Ochsenzoll U,de:02000:92900:1:929000,U1,1,U-Bahn,341,POINT (566173.675204 5948176.684638),EPSG:25832
Kiwittsmoor U,de:02000:92901:1:929002,U1,1,U-Bahn,356,POINT (567124.489912 5947837.850026),EPSG:25832
Langenhorn Nord U,de:02000:92902:1:929004,U1,1,U-Bahn,356,POINT (567236.427091 5946269.387039),EPSG:25832
Langenhorn Markt U,de:02000:92903:1:929006,U1,1,U-Bahn,356,POINT (567232.007641 5944946.043006),EPSG:25832
Hamburg Airport (Flughafen) S,de:02000:99651:1:957102,S1,1,S-Bahn,110,POINT (566563.389026 5943093.508961),EPSG:25832
Lübecker Straße U3,de:02000:10902:2:109004,U3,1,U-Bahn,482,POINT (568141.399949 5935080.640352),EPSG:25832
"Hamburg Hbf S Gl. 3,4",de:02000:10950:1:109100,"A1,S1,S11,S2,S21,S3,S31",7,"Regionalverkehr, S-Bahn",530,POINT (566737.597903 5934276.586022),EPSG:25832
"Hamburg Hbf S Gl. 1,2",de:02000:10950:1:109100,"S1,S11,S2,S21,S3,S31",6,S-Bahn,527,POINT (566771.459829 5934248.948834),EPSG:25832
Berliner Tor U Ri. West,de:02000:10952:2:109010,"U2,U3,U4",3,U-Bahn,572,POINT (567751.122701 5934322.256967),EPSG:25832
Berliner Tor U Ri. Ost,de:02000:10952:1:109011,"U2,U3,U4",3,U-Bahn,570,POINT (567757.344551 5934300.241193),EPSG:25832
Berliner Tor S2/S21,de:02000:10952:4:109108,"S2,S21",2,S-Bahn,300,POINT (567943.799828 5934234.802887),EPSG:25832
Elbbrücken U,de:02000:11943:1:119431,U4,1,U-Bahn,119,POINT (567829.654228 5932278.217855),EPSG:25832
"Jungfernstieg U2,U4 Ri. Ost",de:02000:11950:2:119024,"U2,U4",2,U-Bahn,353,POINT (565854.717017 5934280.044064),EPSG:25832
"Jungfernstieg U2,U4 Ri. West",de:02000:11950:3:119025,"U2,U4",2,U-Bahn,338,POINT (565859.694497 5934294.976502),EPSG:25832
Jungfernstieg U1,de:02000:11950:1:119005,U1,1,U-Bahn,441,POINT (565841.189203 5934172.231227),EPSG:25832
